ROW,ACADEMIC_PERIOD,STUDENT_LEVEL,MODALITY_DESC
266,202310,GR,Online
267,202310,GR,Face-To-Face
268,202310,UG,Online
269,202310,UG,Online
270,202310,UG,Online
271,202310,GR,Online
272,202310,UG,Online
273,202310,GR,Online
274,202310,UG,Online
275,202310,UG,Online
276,202310,GR,Online
277,202310,UG,Both
278,202310,GR,Online
279,202310,GR,Both
280,202310,GR,Face-To-Face
281,202310,UG,Online
282,202310,GR,Online
283,202310,UG,Online
284,202310,GR,Both
285,202310,GR,Face-To-Face
286,202310,UG,Online
287,202310,UG,Online
288,202310,GR,Face-To-Face
289,202310,GR,Face-To-Face
290,202310,GR,Online
291,202310,GR,Online
292,202310,UG,Online
293,202310,UG,Online
294,202310,UG,Face-To-Face
295,202310,GR,Face-To-Face
296,202310,GR,Online
297,202310,UG,Online
298,202310,GR,Online
299,202310,UG,Online
300,202310,GR,Online
301,202310,GR,Both
302,202310,GR,Online
303,202310,UG,Online
304,202310,GR,Online
305,202310,GR,Online
306,202310,UG,Both
307,202310,GR,Online
308,202310,GR,Online
309,202310,UG,Online
310,202310,GR,Face-To-Face
311,202310,UG,Online
312,202310,GR,Both
313,202310,GR,Online
314,202310,GR,Online
315,202310,GR,Online
316,202310,GR,Both
317,202310,GR,Online
318,202310,GR,Online
319,202310,UG,Online
320,202310,UG,Online
321,202310,UG,Face-To-Face
322,202310,GR,Face-To-Face
323,202310,GR,Online
324,202310,GR,Online
325,202310,UG,Online
326,202310,UG,Both
327,202310,UG,Online
328,202310,GR,Online
329,202310,UG,Online
330,202310,UG,Online
331,202310,GR,Online
332,202310,UG,Both
333,202310,GR,Online
334,202310,UG,Online
335,202310,GR,Online
336,202310,UG,Online
337,202310,GR,Online
338,202310,UG,Both
339,202310,GR,Face-To-Face
340,202310,GR,Both
341,202310,UG,Online
342,202310,UG,Online
343,202310,UG,Face-To-Face
344,202310,UG,Online
345,202310,UG,Online
346,202310,GR,Online
347,202310,UG,Online
348,202310,UG,Online
349,202310,UG,Both
350,202310,UG,Online
351,202310,GR,Online
352,202310,UG,Online
353,202310,GR,Online
354,202310,GR,Online
355,202310,GR,Online
356,202310,UG,Online
357,202310,GR,Online
358,202310,UG,Online
359,202310,UG,Both
360,202310,GR,Online
361,202310,GR,Both
362,202310,GR,Face-To-Face
363,202310,GR,Online
364,202310,GR,Online
365,202310,GR,Face-To-Face
366,202310,GR,Face-To-Face
367,202310,UG,Online
368,202310,GR,Online
369,202310,GR,Online
370,202310,UG,Online
371,202310,GR,Face-To-Face
372,202310,UG,Face-To-Face
373,202310,UG,Online
374,202310,GR,Online
375,202310,UG,Online
376,202310,GR,Face-To-Face
377,202310,UG,Both
378,202310,GR,Online
379,202310,GR,Online
380,202310,UG,Online
381,202310,GR,Online
382,202310,UG,Online
383,202310,UG,Online
384,202310,UG,Online
385,202310,GR,Face-To-Face
386,202310,UG,Online
387,202310,UG,Online
388,202310,GR,Online
389,202310,GR,Online
390,202310,UG,Online
391,202310,GR,Online
392,202310,GR,Online
393,202310,UG,Both
394,202310,GR,Online
395,202310,GR,Online
396,202310,GR,Online
397,202310,UG,Online
398,202310,UG,Both
399,202310,GR,Online
400,202310,GR,Online
401,202310,GR,Online
402,202310,GR,Both
403,202310,GR,Face-To-Face
404,202310,GR,Both
405,202310,UG,Face-To-Face
406,202310,GR,Online
407,202310,GR,Face-To-Face
408,202310,UG,Online
409,202310,GR,Online
410,202310,GR,Online
411,202310,GR,Both
412,202310,GR,Both
413,202310,UG,Both
414,202310,UG,Online
415,202310,UG,Both
416,202310,UG,Online
417,202310,UG,Online
418,202310,GR,Online
419,202310,UG,Online
420,202310,GR,Online
421,202310,UG,Online
422,202310,GR,Face-To-Face
423,202310,GR,Face-To-Face
424,202310,GR,Face-To-Face
425,202310,UG,Both
426,202310,UG,Online
427,202310,UG,Online
428,202310,GR,Face-To-Face
429,202310,GR,Online
430,202310,GR,Online
431,202310,GR,Face-To-Face
432,202310,UG,Face-To-Face
433,202310,GR,Both
434,202310,UG,Face-To-Face
435,202310,GR,Online
436,202310,GR,Both
437,202310,GR,Face-To-Face
438,202310,GR,Online
439,202310,GR,Online
440,202310,UG,Online
441,202310,UG,Face-To-Face
442,202310,GR,Face-To-Face
443,202310,GR,Online
444,202310,UG,Online
445,202310,GR,Online
446,202310,GR,Online
447,202310,UG,Online
448,202310,UG,Online
449,202310,GR,Online
450,202310,GR,Online
451,202310,UG,Online
452,202310,GR,Online
453,202310,UG,Online
454,202310,UG,Online
455,202310,UG,Online
456,202310,GR,Face-To-Face
457,202310,UG,Online
458,202310,UG,Online
459,202310,GR,Online
460,202310,GR,Online
461,202310,UG,Online
462,202310,GR,Online
463,202310,UG,Online
464,202310,GR,Online
465,202310,UG,Online
466,202310,UG,Both
467,202310,UG,Online
468,202310,GR,Face-To-Face
469,202310,GR,Online
470,202310,GR,Face-To-Face
471,202310,UG,Online
472,202310,UG,Face-To-Face
473,202310,UG,Both
474,202310,GR,Face-To-Face
475,202310,UG,Online
476,202310,UG,Online
477,202310,GR,Online
478,202310,UG,Online
479,202310,UG,Face-To-Face
480,202310,GR,Online
481,202310,UG,Both
482,202310,GR,Both
483,202310,UG,Online
484,202310,UG,Online
485,202310,GR,Online
486,202310,UG,Face-To-Face
487,202310,GR,Face-To-Face
488,202310,UG,Online
489,202310,UG,Online
490,202310,GR,Online
491,202310,GR,Face-To-Face
492,202310,GR,Online
493,202310,UG,Online
494,202310,GR,Online
495,202310,GR,Online
496,202310,GR,Both
497,202310,UG,Face-To-Face
498,202310,GR,Online
499,202310,GR,Online
500,202310,UG,Online
501,202310,UG,Online
502,202310,UG,Online
503,202310,UG,Face-To-Face
504,202310,GR,Face-To-Face
505,202310,UG,Online
506,202310,GR,Face-To-Face
507,202310,UG,Online
508,202310,GR,Face-To-Face
509,202310,UG,Online
510,202310,UG,Online
511,202310,UG,Online
512,202310,UG,Online
513,202310,GR,Online
514,202310,UG,Online
515,202310,UG,Online
516,202310,GR,Online
517,202310,GR,Both
518,202310,UG,Online
519,202310,UG,Online
520,202310,GR,Face-To-Face
521,202310,UG,Face-To-Face
522,202310,GR,Face-To-Face
523,202310,GR,Online
524,202310,UG,Online
525,202310,GR,Online
526,202310,GR,Online
527,202310,UG,Online
528,202310,UG,Online
529,202310,GR,Online
530,202310,GR,Face-To-Face
531,202310,UG,Face-To-Face
532,202310,UG,Online
533,202310,UG,Online
534,202310,UG,Both
535,202310,UG,Online
536,202310,UG,Online
537,202310,UG,Online
538,202310,GR,Online
539,202310,UG,Online
540,202310,GR,Online
541,202310,UG,Online
542,202310,GR,Online
543,202310,GR,Online
544,202310,UG,Face-To-Face
545,202310,GR,Face-To-Face
546,202310,UG,Online
547,202310,UG,Online
548,202310,UG,Online
549,202310,GR,Face-To-Face
550,202310,UG,Online
551,202310,GR,Face-To-Face
552,202310,UG,Online
553,202310,UG,Online
554,202310,GR,Online
555,202310,UG,Online
556,202310,UG,Both
557,202310,GR,Face-To-Face
558,202310,GR,Online
559,202310,UG,Both
560,202310,UG,Online
561,202310,UG,Online
562,202310,UG,Online
563,202310,GR,Online
564,202310,GR,Online
565,202310,UG,Online
566,202310,GR,Online
567,202310,GR,Face-To-Face
568,202310,GR,Both
569,202310,GR,Online
570,202310,GR,Online
571,202310,UG,Online
572,202310,UG,Online
573,202310,GR,Online
574,202310,GR,Both
575,202310,UG,Online
576,202310,UG,Online
577,202310,GR,Online
578,202310,UG,Both
579,202310,UG,Face-To-Face
580,202310,GR,Face-To-Face
581,202310,GR,Online
582,202310,GR,Online
583,202310,UG,Online
584,202310,UG,Both
585,202310,GR,Face-To-Face
586,202310,GR,Face-To-Face
587,202310,UG,Online
588,202310,GR,Both
589,202310,GR,Online
590,202310,GR,Face-To-Face
591,202310,UG,Online
592,202310,GR,Face-To-Face
593,202310,UG,Online
594,202310,GR,Online
595,202310,GR,Online
596,202310,UG,Online
597,202310,GR,Online
598,202310,GR,Online
599,202310,GR,Online
600,202310,UG,Online
601,202310,GR,Face-To-Face
602,202310,GR,Face-To-Face
603,202310,UG,Online
604,202310,UG,Online
605,202310,UG,Online
606,202310,UG,Face-To-Face
607,202310,UG,Online
608,202310,GR,Online
609,202310,GR,Face-To-Face
610,202310,UG,Online
611,202310,GR,Online
612,202310,UG,Online
613,202310,GR,Online
614,202310,GR,Face-To-Face
615,202310,UG,Both
616,202310,GR,Online
617,202310,GR,Online
618,202310,UG,Face-To-Face
619,202310,UG,Online
620,202310,GR,Online
621,202310,GR,Online
622,202310,UG,Online
623,202310,GR,Online
624,202310,UG,Online
625,202310,UG,Online
626,202310,UG,Both
627,202310,UG,Both
628,202310,UG,Both
629,202310,GR,Online
630,202310,GR,Online
631,202310,UG,Both
632,202310,GR,Online
633,202310,UG,Online
634,202310,GR,Face-To-Face
635,202310,GR,Both
636,202310,UG,Online
637,202310,GR,Face-To-Face
638,202310,GR,Online
639,202310,UG,Online
640,202310,GR,Online
641,202310,UG,Online
642,202310,GR,Online
643,202310,UG,Both
644,202310,GR,Face-To-Face
645,202310,GR,Face-To-Face
646,202310,UG,Both
647,202310,GR,Online
648,202310,GR,Online
