ROW,ACADEMIC_PERIOD,STUDENT_LEVEL,MODALITY_DESC
1,202210,GR,Online
2,202210,GR,Online
3,202210,GR,Face-To-Face
4,202210,UG,Online
5,202210,UG,Online
6,202210,UG,Online
7,202210,GR,Online
8,202210,GR,Online
9,202210,UG,Online
10,202210,GR,Online
11,202210,UG,Online
12,202210,GR,Online
13,202210,GR,Face-To-Face
14,202210,GR,Face-To-Face
15,202210,UG,Online
16,202210,GR,Online
17,202210,UG,Online
18,202210,UG,Online
19,202210,UG,Online
20,202210,UG,Both
21,202210,UG,Face-To-Face
22,202210,UG,Online
23,202210,UG,Online
24,202210,GR,Face-To-Face
25,202210,GR,Online
26,202210,UG,Both
27,202210,UG,Online
28,202210,UG,Face-To-Face
29,202210,UG,Online
30,202210,GR,Online
31,202210,UG,Online
32,202210,GR,Online
33,202210,GR,Online
34,202210,GR,Online
35,202210,UG,Face-To-Face
36,202210,GR,Online
37,202210,UG,Online
38,202210,UG,Online
39,202210,UG,Online
40,202210,GR,Online
41,202210,UG,Both
42,202210,UG,Both
43,202210,GR,Online
44,202210,UG,Online
45,202210,GR,Online
46,202210,GR,Online
47,202210,GR,Online
48,202210,GR,Online
49,202210,GR,Online
50,202210,UG,Online
51,202210,UG,Both
52,202210,UG,Online
53,202210,GR,Both
54,202210,GR,Online
55,202210,UG,Online
56,202210,GR,Online
57,202210,GR,Online
58,202210,UG,Online
59,202210,GR,Face-To-Face
60,202210,UG,Online
61,202210,GR,Online
62,202210,UG,Online
63,202210,UG,Online
64,202210,UG,Both
65,202210,GR,Online
66,202210,UG,Online
67,202210,GR,Both
68,202210,UG,Face-To-Face
69,202210,UG,Online
70,202210,GR,Face-To-Face
71,202210,GR,Online
72,202210,GR,Online
73,202210,UG,Online
74,202210,UG,Both
75,202210,GR,Online
76,202210,UG,Online
77,202210,GR,Online
78,202210,UG,Online
79,202210,GR,Online
80,202210,UG,Online
81,202210,UG,Online
82,202210,GR,Both
83,202210,GR,Online
84,202210,UG,Face-To-Face
85,202210,UG,Online
86,202210,UG,Online
87,202210,UG,Face-To-Face
88,202210,GR,Face-To-Face
89,202210,GR,Online
90,202210,GR,Online
91,202210,UG,Online
