,Location,Year,Motor Car,Dual Purpose Vehicle,Lorry,Cycle,Motor Cycle/Moped,Three wheeler,"Articulated Vehicle, prime mover",SLT Bus,Private Bus,Intercity Bus,Land Vehicle/Tractor,Animal drawn vehicle or rider on animal,Other,Total,Lat,Lon
0,Ampara ,2012,59,102,121,93,575,169,4,15,35,1,41,4,0,1219,7.29754,81.68202
1,Anuradhapura ,2012,116,224,246,158,845,196,2,28,104,3,72,0,6,2000,8.31223,80.41306
2,Badulla (Badulla & Bandarawela Divisions),2012,82,121,171,20,266,219,2,58,78,1,16,0,5,1039,6.9802,81.0577
3,Batticaloa ,2012,26,43,30,64,224,52,4,9,25,1,24,1,2,505,7.8293,81.4718
4,Chilaw (Chilaw & Puttalam Divisions),2012,102,213,224,134,530,163,14,23,84,1,19,1,3,1511,7.57583,79.79528
5,"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",2012,4708,2675,1686,221,2835,2804,110,190,1194,4,59,0,63,16549,6.93548,79.84868
6,Galle (Galle & Elpitiya Divisions),2012,488,377,348,216,1346,586,16,73,224,3,16,0,9,3702,6.0461,80.2103
7,"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2012,2018,1688,1352,317,2598,1466,175,123,590,9,38,4,6,10384,7.0897,79.9925
8,Jaffna (Jaffna & KKS Divisions),2012,32,64,46,73,213,63,1,8,21,0,28,0,0,549,9.66845,80.00742
9,Kalutara (Kalutara & Panadura Divisions),2012,381,398,337,226,1022,525,15,53,238,4,15,0,6,3220,6.5831,79.9593
10,Kandy (Kandy & Gampola Divisions),2012,735,637,526,29,746,895,4,148,403,4,10,1,18,4156,7.2906,80.6336
11,Kegalle (Kegalle & Seethawaka Divisions),2012,281,323,357,23,500,545,11,82,224,1,15,0,12,2374,7.2523,80.3436
12,Kilinochchi (Kilinochchi & Mankulam Divisions),2012,5,74,93,30,120,15,3,21,42,0,10,0,1,414,9.3961,80.3982
13,"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",2012,333,428,522,193,1349,433,16,97,218,4,35,0,17,3645,7.4839,80.3683
14,Mannar ,2012,12,35,26,18,71,35,0,1,8,0,7,0,0,213,8.981,79.9044
15,Matale ,2012,118,192,246,68,384,306,8,50,110,3,15,0,7,1507,7.4698,80.6217
16,Matara ,2012,138,200,163,107,593,297,0,26,131,2,13,0,1,1671,5.94851,80.53528
17,Monaragala ,2012,64,104,162,58,389,197,1,21,47,0,27,0,2,1072,6.8714,81.3487
18,Mulathivu ,2012,1,6,2,9,5,0,0,0,3,0,1,0,0,27,9.2675,80.8128
19,Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),2012,80,136,130,12,89,247,4,32,83,1,6,0,14,834,6.9497,6.9497
20,Polonnaruwa ,2012,36,92,136,63,348,95,1,18,31,1,36,0,0,857,7.9403,81.0188
21,Ratnapura ,2012,182,234,321,42,553,443,9,38,155,2,8,0,0,1987,6.7055,80.3848
22,Tangalle (Tangalle Division),2012,59,236,148,66,480,110,11,34,70,0,36,0,2,1252,6.028849,80.785576
23,Trincomalee (Trincomalee & Kantale Divisions),2012,23,72,78,63,286,129,2,12,30,0,27,3,4,729,8.6013,81.1196
24,Vavuniya ,2012,4,15,32,26,66,20,0,3,3,0,2,0,0,171,8.7542,80.4982
